LOCATION DATA,ROAD CONDITION,WEATHER CONDITION,TIME OF DAY,VEHICAL SPEED,DRIVER BEHAVIOR,SURROUNDING INFRASTRUCTURE,TRAFFIC FLOW,ACCIDENT
Gulshan Iqbal,Dry,Clear Sky,Morning,Slow,Speeding,Intersection,High,Possible
Tower,Wet,Rainy,Evening,Normal,Reckless Driver,Crosswalk,High,Not Possible 
Islamabad,Icy,Snowy,Afternoon,Fast,Impaired Driver,pedstrian,Low,Possible
Kharadar,Wet,Rainy,Night,Fast,Fatigue,pedstrian,Balanced,Not Possible 
Multan,Icy,Snowy,Morning,Slow,Tailgating,Crosswalk,High,Not Possible 
Agratag,Dry,Clear Sky,Morning,Slow,Distracted,Intersection,High,Possible
Korangi,Wet,Rainy,Night,Fast,Speeding,Bike lanes,Balanced,Possible
Bahawalpur,Sandy,Clear Sky,Afternoon,Fast,Fatigue,Roadway Lighting,Low,Not Possible 
Quetta,Icy,Sleet,Evening,Normal,Impaired Driver,Residential Area,High,Not Possible 
Malir,Dry,Windy,Evening,Normal,Fatigue,Construction Zones,High,Not Possible 
Abbottabad,Muddy,Rainy,Morning,Slow,Tailgating,Public Area,High,Not Possible 
Dadu Johi mor,Dry,Windy,Afternoon,Fast,Reckless Driver,Pedstrian Crossing,Low,Possible
Quetta,Icy,Sleet,Night,Fast,Distracted,Commercial Area,Balanced,Possible
Sehwan,Flooded,Rainy,Morning,Slow,Impaired Driver,Houses Zones,High,Not Possible 
Larkana,Wet,Rainy,Night,Fast,Distracted,Roadside Obstacles,Balanced,Possible
Sekerand,Wet,Rainy,Afternoon,Fast,Impaired Driver,Park Area,Low,Possible
Gorakh,Muddy,Rainy,Afternoon,Fast,Fatigue,Proximity to schools,Low,Possible
Jamshoro Road,Dry,Clear Sky,Evening,Normal,Reckless Driver,Houses Zones,High,Not Possible 
Multan,Dry,Clear Sky,Morning,Slow,Reckless Driver,Park Area,High,Not Possible 
Karakoram Highway,Muddy,Windy,Afternoon,Fast,Distracted,Bike lanes,Low,Possible
Khudabad,Muddy,Windy,Evening,Normal,Fatigue,Crosswalk,High,Not Possible 
Sun,Dry,Clear Sky,Night,Fast,Impaired Driver,Houses Zones,Balanced,Not Possible 
Manjhad,Dry,Windy,Morning,Slow,Wrong-Way,Pedstrian Crossing,High,Possible
Saleem Centre(N.K),Muddy,Sleet,Night,Fast,Inattention,Public Area,Balanced,Not Possible 
Johi,Flooded,Clear Sky,Afternoon,Fast,Ignor Trfc Rule,Crosswalk,Low,Possible
Johi,Flooded,Rainy,Evening,Normal,Wrong-Way,Bike lanes,High,Possible
Gujranwala,Muddy,Rainy,Morning,Slow,Distracted,Houses Zones,High,Not Possible 
Sukkur,Wet,Sleet,Night,Fast,Fatigue,Commercial Area,Balanced,Not Possible 
Okara,Slushy,Sleet,Afternoon,Fast,Reckless Driver,Public Area,Low,Possible
Mingora,Oil spill,Windy,Evening,Normal,Ignor Trfc Rule,Park Area,High,Possible
Quetta,Slushy,Windy,Night,Fast,Inattention,Pedstrian Crossing,Balanced,Possible
Nawabshah,Muddy,Clear Sky,Morning,Slow,Impaired Driver,Roadside Obstacles,High,Not Possible 
Quetta,Wet,Rainy,Afternoon,Fast,Ignor Trfc Rule,Buildings,Low,Possible
Gorakh,Dry,Windy,Evening,Normal,Fatigue,Proximity to schools,High,Not Possible 
Dadu Johi mor,Dry,Clear Sky,Evening,Normal,Wrong-Way,Intersection,High,Possible
